"ENTITY","ID","CODE","NAME","STATUS","TYPE","DESCRIPTION","PURPOSE","START DATE","END DATE","CURRENCY","AMOUNT",""
"Mzuzu City Council","157","MCC/WORKS/BRG/21/07/01 LOT 2","SONDA-DUNDUZU ROAD","implementation","construction","UPGRADING FROM EARTH ROAD TO BITUMEN STANDARD","TO EASE MOBILITY CHALLENGES AND SPUR ECONOMIC DEVELOPMENT -BUSSINESSES AND AGRICULTURAL PRODUCE","2022-06-01","2025-06-01","MWK","5856857874.98",""
"Lilongwe City Council","162","LCC/1/pw","construction of kawale foot bridge under ward development fund.","completed","construction","construction of kawale foot bridge under ward development fund. between kawale 1 and kawale 2","to allow people to cross the bridge safely","2022-03-18","2022-05-20","MWK","6986005.79",""
"Lilongwe City Council","163","LCC/1/pw","masaf culvert installation under constituency development fund","completed","construction","masaf culvert installation under constituency development fund in area 49","improve drainage in lilongwe city, for easy crossing of cars and people","2022-06-04","2022-08-16","MWK","18603347.00",""
"Lilongwe City Council","164","LCC/1/pw","Rehabilitation of old town bus deport under roads fund Administration","completion","rehabilitation","Rehabilitation of old town bus deport under roads fund Administration","improving good roads access to the people in lilongwe city.","2021-10-11","2022-09-12","MWK","1024317687.25",""
"Lilongwe City Council","166","LCC/1/pw","lilongwe water and sanitation project under world bank","implementation","construction","Lilongwe water and sanitation project under world bank, we are currently construction 1000 toilets in lilongwe city.","To improve sanitation and sewage system in lilongwe city.","2021-08-14","2022-09-30","MWK","2458871970.00",""
"Lilongwe City Council","167","LCC/1/pw","Maintenance of Mtandire Mosque Road under ward development fund.","completed","construction","Maintenance of Mtandire Mosque Road","improvement of drainage in Lilongwe city","2022-07-14","2022-08-13","MWK","3499200.00",""
"Southern Region Water Board (SRWB)","168","MoD/W/004/2021","EXTENSION OF MANGOCHI POTABLE WATER SUPPLY","implementation","expansion","Mangochi water supply extension that covers Lakeshore areas from Mpondasi (Bishop's House) to Mtakataka Turn Off","Supplying potable water to all lakeshore trading centres that include Namiasi, Maldeco, Makawa, Mtakataka Turn-Off and all Holiday resorts along the lake","2021-02-01","2023-04-11","USD","14400000.00",""
"ZOMBA CITY COUNCIL","169","ZCC/GOV/RD/ENG/2021-22/23","Upgrading of Sadzi Sadzi THA Road to Last Night","implementation","construction","Upgrading 1.8 km to asphalt finishes","Provide access to traders and reduce stray of water run off into households.","2021-12-18","2022-05-17","MWK","801611277.75",""
"Southern Region Water Board (SRWB)","171","MoD/W/004/2021","FEASIBILITY STUDIES AND DETAILED DESIGNS FOR AN ADDITIONAL WATER SOURCE FOR ZOMBA CITY AND SURROUNDING AREAS","identification","replacement","Carrying out  feasibility studies and detailed designs for an additional water source for Zomba City and surrounding areas","To have an alternative source of water for Zomba City and surrounding areas","2021-02-01","2023-04-11","USD","1193566.20",""
"Directorate of Buildings (DoB)","100","13/2019","Construction of Inkosi ya Makosi M'mbelwa University","preparation","construction","A learning and teaching facility","provide a learning facility to the nation","2016-08-22","2023-08-21","MWK","53208000000.00",""
"Machinga District Council","172","32","Construction of mkwakwata police post","preparation","construction","Construction of mkwakwata police post","To add public infrastructure","2022-08-01","2022-08-10","MWK","888888888888.88",""
"Directorate of Buildings (DoB)","12","17/2017","Construction of Blantyre Police","implementation","construction","Construction of Police offices and Associated Works","To improve security services to the nation","2019-04-15","2022-12-15","MWK","533907504.13",""
"Machinga District Council","145","44","Construction of mkanga concrete deck bridge,single span 8m long","preparation","construction","Construction of mkanga concrete deck brigde,single span 8m long","To ease transportation challenges and accessibility to markets,school and hospital","2022-08-03","2022-08-16","MWK","150659580000.00",""
"ZOMBA CITY COUNCIL","177","TD-OX/ZCC/21/172/LLW-MW/007/A","Construction of Single Lane Bridge  along Likangala River","implementation","construction","Single Concrete Deck Bridge","The Bridge has been constructed along as part of evacuation route reaching Multipurpose Evacuation Centre in Chambo ward","2021-10-08","2022-03-27","MWK","75573550.00",""
"Machinga District Council","178","001","maintenance of EPA hall","implementation","construction","maintenance of EPA hall","To maintain EPA hall","2022-08-01","2022-08-17","MWK","999999999999.99",""
"Lilongwe District Council","179","DDF/01D/2","Construction of a Classroom block at Kakolo Primary school","completed","construction","Construction of a two roomed classroom block","to reduce the high pupil to classroom ratio","2021-12-29","2022-03-29","MWK","25000000.00",""
"Machinga District Council","180","34","Lingoni Primary School","completion","construction","Construction of 1 two roomed classroom block at T.A. Mposa Machinga South Constituency Chamba Ward","To increase the number of classroom blocks at the institution thereby increasing pupil classroom ratio","2021-09-04","2022-03-23","MWK","26000000.00",""
"Malawi Bureau of Standards (MBS)","70","MBS/IPC/BE495/2013","Development of a Robust Standardization, Quality Assurance, Accreditation and Metrology (SQAM) Infrastructure in Malawi","implementation","construction","Construction of Office and Laboratory Complex","To build capacity in regulating requirements of the Malawi Bureau of Standards (MBS) by improving testing requirements and thereby contribute to the improvement of export trade, economic improvement and welfare of Malawians","2016-02-01","2018-01-31","MWK","18690052500.00",""
"Malawi Bureau of Standards (MBS)","181","MBS/SWE/SH/01","CONSTRUCTION OF STAFF HOUSES AT SONGWE","identification","construction","CONSTRUCTION OF THREE TWO-BEDROOM STAFF HOUSES AT SONGWE","TO ACCOMODATE MBS STAFF WORKING AT SONGWE BORDER","2022-12-01","2023-06-30","MWK","200000000.00",""
"Mulanje District Council","38","MJDC-IPDC-20/21-DDF-W-3-DDF","Construction of Nthiramanja Police Unit","completed","construction","Construction of a police Unit, with two holding cells, with Substation's office","to improve security","2021-06-01","2021-08-31","MWK","50000.00",""
"Shire Valley Transformation Programme (SVTP-1) Malawi","137","P158805","Shire Valley Transformation Programme-1","implementation","construction","he SVTP is a 14-year program (2018-2031) that will be implemented in three sequential but partially overlapping phases.   The Shire Valley Transformation Programme (SVTP) will irrigate approximately 43,370 hectares of land by abstracting water from the Shire River at Kapichira Dam and conveying it by gravity to the irrigable areas in Chikwawa and Nsanje districts through canals. This will ensure a more consistent supply of water to farmlands throughout the year.","The Programme Development Objective (PDO) for the SVTP is to increase agricultural productivity and commercialization for targeted households in the Shire Valley and to improve the sustainable management and utilization of natural resources.","2018-03-21","2023-12-31","USD","222787156.00",""
"University of Malawi (UNIMA)","93","C87-10-18","Expansion of Chancellor College School of Economics","completion","expansion","construction of school of economics","To enhance quality of economic graduates while and increasing access to University education","2019-07-01","2022-08-21","MWK","3554802243.07",""
"University of Malawi (UNIMA)","184","CC/ADM/01/CW/12/2020","Expansion of Chancellor College Construction of Administration Office Block","implementation","expansion","Construction of administration block","The purpose is to enhance quality and efficiency in the University of Malawi","2021-08-20","2023-08-21","MWK","8961824573.92",""
"Machinga District Council","185","06","Mkazimasika 4 bridge construction","completion","construction","Bridge construction contract ref no 091/MHG/CDF/Machinga South East/Mkazimasika 4 bridge/06/2021","To ease accessibility to markets,hospital and school","2021-06-25","2021-08-20","MWK","4979400.00",""
